hour_epoch,hour_utc,avg_base_fee_gwei,avg_tip_gwei_p50,avg_gas_price_gwei,blocks
1770746400,2026-02-10 18:00:00,553.4351,236.0011,789.4361,278
1770750000,2026-02-10 19:00:00,556.1612,152.7519,708.9131,746
